item,serial_number,Model,appraisal_value,item_description,category,remarks
regional,7310208927,needs-based,4334,curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam,4,nulla quisque arcu libero rutrum ac lobortis vel dapibus at
Realigned,8464788630,Fundamental,45987,justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus,3,semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante
analyzer,9048990130,Cross-group,30407,magna at nunc commodo placerat praesent blandit nam nulla integer,1,rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus
Multi-lateral,7232137265,transitional,19988,nam dui proin leo odio porttitor id consequat in consequat ut nulla,3,nulla nunc purus phasellus in felis donec semper sapien a libero
real-time,0957373767,Cloned,42156,id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit,2,pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus
projection,2122942452,hub,6555,elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum,1,lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst
systemic,3448063576,Business-focused,3958,vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices,1,ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices
Optimized,2519728094,extranet,4406,tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu,2,justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique
system engine,7463484815,migration,14763,molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas,3,lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu
workforce,6144367772,demand-driven,6922,id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat,2,mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus
bi-directional,6409774621,optimizing,12668,lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum,1,non mauris morbi non lectus aliquam sit amet diam in
radical,0729932249,Grass-roots,3464,sollicitudin mi sit amet lobortis sapien sapien non mi integer ac,4,risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante
cohesive,8623172671,intranet,41152,integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices,2,orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in
grid-enabled,4107674908,Balanced,8434,et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque,1,donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris
explicit,1660624290,encoding,6189,mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis,1,sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in
impactful,6227337994,Programmable,36194,amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus,4,nulla pede ullamcorper augue a suscipit nulla elit ac nulla
multi-state,3271258198,Inverse,5977,commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer,2,nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit
didactic,8537765112,capability,26767,quis turpis eget elit sodales scelerisque mauris sit amet eros,5,sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac
systemic,2907094149,zero defect,11110,amet sem fusce consequat nulla nisl nunc nisl duis bibendum,4,duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis
functionalities,4309124178,actuating,36251,augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt,5,mattis egestas metus aenean fermentum donec ut mauris eget massa
Face to face,3198235928,optimal,21114,cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue,1,sed sagittis nam congue risus semper porta volutpat quam pede lobortis
mobile,8488439881,forecast,40506,a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt,3,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra
Switchable,6641460231,leading edge,24682,lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst,4,accumsan felis ut at dolor quis odio consequat varius integer
interface,4727608014,User-centric,2981,aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non,1,congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero
logistical,2836362391,time-frame,38009,id consequat in consequat ut nulla sed accumsan felis ut,3,nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla
conglomeration,4224570173,algorithm,4754,quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer,4,eu sapien cursus vestibulum proin eu mi nulla ac enim
Streamlined,3885979179,implementation,13637,pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget,3,orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse
Total,3239985683,heuristic,8435,cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna,5,quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in
human-resource,4991891310,Profound,44098,sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et,3,ac neque duis bibendum morbi non quam nec dui luctus rutrum
demand-driven,6954018694,circuit,24649,sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget,5,augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis
intangible,6809455124,parallelism,33974,aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo,1,faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam
user-facing,7005300858,Vision-oriented,9806,sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus,5,sit amet cursus id turpis integer aliquet massa id lobortis convallis
open architecture,3189193495,content-based,43139,ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris,4,id consequat in consequat ut nulla sed accumsan felis ut at
Devolved,6257028086,Persevering,11417,sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium,4,mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer
Public-key,8962306786,Upgradable,13365,pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus,2,enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula
Triple-buffered,5698781877,Diverse,17218,non ligula pellentesque ultrices phasellus id sapien in sapien iaculis,2,id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec
Open-architected,5001445116,Reduced,10439,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam,4,lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus
Right-sized,7704429698,Reverse-engineered,7065,montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis,5,vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci
ability,7765468057,interface,30115,vestibulum sit amet cursus id turpis integer aliquet massa id lobortis,5,habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt
Universal,9540016584,tertiary,37302,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec,1,curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis
workforce,0825064058,Vision-oriented,36322,sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,5,proin at turpis a pede posuere nonummy integer non velit donec diam neque
Intuitive,3005228819,strategy,33545,lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna,1,mi in porttitor pede justo eu massa donec dapibus duis at
intranet,5254495642,encoding,36663,aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non,3,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
static,9177971841,Synchronised,20318,felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio,4,ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui
support,4757547307,Adaptive,19350,augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,2,donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi
encryption,3420353170,Innovative,46222,blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent,2,in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas
knowledge user,4292342636,bifurcated,28776,at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci,3,adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus
Proactive,9096958187,neutral,14355,mi in porttitor pede justo eu massa donec dapibus duis at velit eu est,4,posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc
system-worthy,9639789356,Innovative,41916,convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia,4,platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris
flexibility,3916741535,secondary,40146,pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed,3,diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum
intermediate,9955538414,Fundamental,16742,in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie,5,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus
scalable,5381955316,optimizing,23667,ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu,1,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo
context-sensitive,5819147820,De-engineered,41166,at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque,2,ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet
Robust,7060200126,static,19508,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis,1,euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam
directional,3342336978,exuding,14138,ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor,1,purus sit amet nulla quisque arcu libero rutrum ac lobortis
knowledge user,7292019064,mission-critical,42922,porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio,2,ac neque duis bibendum morbi non quam nec dui luctus rutrum
Open-architected,4153831794,incremental,15107,quisque erat eros viverra eget congue eget semper rutrum nulla,5,luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis
secured line,3447071192,Focused,34860,turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut,1,in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut
Face to face,6833754683,model,33217,nunc purus phasellus in felis donec semper sapien a libero nam dui proin,3,magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus
orchestration,5275215177,Secured,14584,amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien,3,vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci
Public-key,9772043459,Persistent,19891,a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate,5,vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin
Business-focused,3055946790,explicit,18209,integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis,5,scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed
extranet,2293604020,directional,22447,a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue,3,eu nibh quisque id justo sit amet sapien dignissim vestibulum
Organized,3721092228,Horizontal,38955,vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam,4,nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend
Visionary,1390968073,Up-sized,37030,tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo,3,at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a
Versatile,7405957404,grid-enabled,32982,id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam,3,vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non
help-desk,0688437869,6th generation,20234,ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus,2,ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus
